span_type_info,_xact_id,input,output,error,expected,tags,scores,metrics,metadata,created,id,span_id,__bt_assignments,comments
[object Object],1000195884136900152,"{""query"":""How much did Upswell invest in Riparide?"",""searchType"":""hybrid"",""useOptimizedCollection"":true}","{""resultsCount"":20}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":null,""end"":null,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""start"":null,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""operation"":""weaviate-search"",""timestamp"":""2025-09-30T06:42:17.456Z""}",2025-09-30T06:42:17.495Z,dd2ba299-7c4a-49f7-929e-6522133cbe46,9bf60529-6a3b-4de8-bf29-f4eeecbeab68,,
[object Object],1000195884134269943,"{""test"":""initialization""}","{""status"":""logger_created""}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":0.005000114440917969,""end"":1759214496.73,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""start"":1759214496.725,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""timestamp"":""2025-09-30T06:41:36.725Z""}",2025-09-30T06:41:36.727Z,0a59d7f3-15b6-467f-a7f8-888cfb5b009d,a15338c1-988e-4c1f-bf86-73a2007034dc,,
[object Object],1000195884134072682,"{""test"":""initialization""}","{""status"":""logger_created""}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":0.006000041961669922,""end"":1759214494.178,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""start"":1759214494.172,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""timestamp"":""2025-09-30T06:41:34.173Z""}",2025-09-30T06:41:34.175Z,0a1407b8-25e2-4fda-ab0e-d8a8ce4fb498,cd6f99fd-d53d-4325-b273-19467992f7d7,,
[object Object],1000195884132164720,"{""testType"":""simple""}","{""data"":{""value"":64.51136192378249},""message"":""Simple test completed"",""timestamp"":""2025-09-30T06:41:00.439Z""}",,,,"{""dataQuality"":1,""performance"":0.9,""responseTime"":1,""success"":1}","{""cached"":null,""completion_tokens"":0,""duration"":0.10599994659423828,""end"":1759214460.44,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""responseTimeMs"":107,""start"":1759214460.334,""success"":1,""time_to_first_token"":null,""timestamp"":1759214460439,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""environment"":""development"",""feature"":""enhanced-tracing-test"",""input"":{""testType"":""simple""},""isProduction"":false,""sessionId"":""test-session"",""timestamp"":""2025-09-30T06:41:00.439Z"",""userId"":""test-user""}",2025-09-30T06:41:00.334Z,7650bd9f-80c5-4a6d-8c8a-9d154b9d4c0b,dd1b7cbc-f904-4a89-90a1-cbfd6a294588,,
[object Object],1000195884111973511,"{""query"":""How much did Upswell invest in Riparide?"",""searchType"":""hybrid"",""useOptimizedCollection"":true}","{""resultsCount"":20}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":null,""duration_ms"":1000,""end"":null,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""results_count"":20,""start"":null,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""operation"":""weaviate-search"",""timestamp"":""2025-09-30T06:35:57.047Z""}",2025-09-30T06:35:57.082Z,102a881a-4bff-4661-bda6-cac700c9cd3c,388637de-75a7-423c-b8c6-b19daae4700f,,
[object Object],1000195884095333298,"{""test"":""initialization""}","{""status"":""logger_created""}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":0.007999897003173828,""end"":1759213902.735,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""start"":1759213902.727,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""timestamp"":""2025-09-30T06:31:42.727Z""}",2025-09-30T06:31:42.730Z,058ad4e2-bd5e-4f64-8ef7-7ee4d7450b0a,46c58f83-9b9a-49e3-9242-420a811cf2c8,,
[object Object],1000195884095201683,"{""test"":""initialization""}","{""status"":""logger_created""}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":0.006000041961669922,""end"":1759213900.297,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""start"":1759213900.291,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""timestamp"":""2025-09-30T06:31:40.292Z""}",2025-09-30T06:31:40.294Z,49a4ddaf-dd43-4ab3-bb1b-e88fcb9fca57,d0a92654-d169-428f-a108-13c64ad93ddb,,
[object Object],1000195884049275221,"{""companiesCount"":3,""query"":""How much did Upswell invest in Riparide?"",""resultsCount"":20}","{""answer"":""Based on the portfolio documents, I can see that Upswell Ventures invested **$999,729.53** in Riparide.\n\nThis information comes from the share certificate document, which shows that Upswell Ventures Pty Ltd holds 5,797 Seed Preference Shares at $172.49 per share, with the full amount paid per share (5,797 × $172.49 = $999,729.53).\n\nThe investment was part of a larger funding round with a minimum size of A$4,000,000 and maximum of A$4,500,000, at a pre-money valuation of A$23,000,000, with Prual Investments Pte Ltd as the lead investor contributing A$1,500,000."",""confidence"":""high"",""sources"":7}",,,,{},"{""answer_length"":566,""cached"":null,""completion_tokens"":0,""confidence_score"":1,""duration"":null,""duration_ms"":5257,""end"":null,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""start"":null,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""operation"":""claude-generate-answer"",""timestamp"":""2025-09-30T06:20:00.017Z""}",2025-09-30T06:20:00.069Z,b46e650d-06a2-4b81-b355-821627175d9f,a7a2c87d-ec14-41bb-ba1d-53b6e2f8bfb4,,
[object Object],1000195884048880875,"{""query"":""How much did Upswell invest in Riparide?"",""searchType"":""hybrid"",""useOptimizedCollection"":true}","{""resultsCount"":20}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":null,""duration_ms"":887,""end"":null,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""results_count"":20,""start"":null,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""operation"":""weaviate-search"",""timestamp"":""2025-09-30T06:19:54.758Z""}",2025-09-30T06:19:54.801Z,d787bdbc-58ff-4322-8d7e-2ccf00d740b5,b55b36f6-63a0-4b66-b9a1-1ee9ea9091de,,
[object Object],1000195884047038727,"{""test"":""initialization""}","{""status"":""logger_created""}",,,,{},"{""cached"":null,""completion_tokens"":0,""duration"":0.011999845504760742,""end"":1759213166.037,""errors"":0,""estimated_cost"":null,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":0,""start"":1759213166.025,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":0}","{""timestamp"":""2025-09-30T06:19:26.025Z""}",2025-09-30T06:19:26.028Z,c23ec135-96cb-49d0-bbf3-7d1c8c28d1d5,84265438-6cd7-459f-9978-91c6f028e4c4,,
